Nombre de lignes : 18
Nombre de mots : 442
Nombre de caractères : 2516
Nombre de mots distincts : 200

Liste des mots et fréquences
------------------------------------------------
ut                   : 12 occurrence(s)
ac                   : 11 occurrence(s)
sed                  : 9 occurrence(s)
sit                  : 8 occurrence(s)
mauris               : 7 occurrence(s)
a                    : 7 occurrence(s)
aliquam              : 6 occurrence(s)
vestibulum           : 6 occurrence(s)
lacus                : 6 occurrence(s)
eget                 : 6 occurrence(s)
donec                : 6 occurrence(s)
quis                 : 6 occurrence(s)
turpis               : 6 occurrence(s)
in                   : 6 occurrence(s)
amet                 : 6 occurrence(s)
at                   : 5 occurrence(s)
velit                : 5 occurrence(s)
et                   : 5 occurrence(s)
malesuada            : 5 occurrence(s)
id                   : 5 occurrence(s)
consectetur          : 4 occurrence(s)
non                  : 4 occurrence(s)
magna                : 4 occurrence(s)
augue                : 4 occurrence(s)
nunc                 : 4 occurrence(s)
feugiat              : 4 occurrence(s)
curabitur            : 4 occurrence(s)
tempus               : 4 occurrence(s)
morbi                : 4 occurrence(s)
ornare               : 4 occurrence(s)
nec                  : 4 occurrence(s)
orci                 : 4 occurrence(s)
etiam                : 4 occurrence(s)
mattis               : 4 occurrence(s)
pellentesque         : 4 occurrence(s)
dolor                : 3 occurrence(s)
lectus               : 3 occurrence(s)
sapien               : 3 occurrence(s)
dictum               : 3 occurrence(s)
sem                  : 3 occurrence(s)
tincidunt            : 3 occurrence(s)
varius.              : 3 occurrence(s)
lacinia              : 3 occurrence(s)
vitae                : 3 occurrence(s)
arcu                 : 3 occurrence(s)
eros                 : 3 occurrence(s)
fringilla            : 3 occurrence(s)
volutpat             : 3 occurrence(s)
cras                 : 3 occurrence(s)
ipsum                : 2 occurrence(s)
amet,                : 2 occurrence(s)
cursus               : 2 occurrence(s)
eleifend             : 2 occurrence(s)
in,                  : 2 occurrence(s)
imperdiet            : 2 occurrence(s)
convallis            : 2 occurrence(s)
erat                 : 2 occurrence(s)
lobortis.            : 2 occurrence(s)
vel,                 : 2 occurrence(s)
rhoncus              : 2 occurrence(s)
enim.                : 2 occurrence(s)
integer              : 2 occurrence(s)
metus                : 2 occurrence(s)
elementum            : 2 occurrence(s)
efficitur            : 2 occurrence(s)
vel                  : 2 occurrence(s)
nibh                 : 2 occurrence(s)
ante                 : 2 occurrence(s)
egestas              : 2 occurrence(s)
nisl                 : 2 occurrence(s)
auctor               : 2 occurrence(s)
massa.               : 2 occurrence(s)
ultricies            : 2 occurrence(s)
euismod              : 2 occurrence(s)
elit                 : 2 occurrence(s)
ullamcorper.         : 2 occurrence(s)
enim                 : 2 occurrence(s)
leo                  : 2 occurrence(s)
libero.              : 2 occurrence(s)
iaculis              : 2 occurrence(s)
duis                 : 2 occurrence(s)
dignissim            : 2 occurrence(s)
gravida.             : 2 occurrence(s)
ipsum.               : 2 occurrence(s)
pellentesque.        : 2 occurrence(s)
sodales              : 2 occurrence(s)
libero               : 2 occurrence(s)
sem.                 : 2 occurrence(s)
quam                 : 2 occurrence(s)
tortor               : 2 occurrence(s)
nulla                : 2 occurrence(s)
quisque              : 2 occurrence(s)
interdum             : 2 occurrence(s)
mauris.              : 2 occurrence(s)
vivamus              : 2 occurrence(s)
purus,               : 2 occurrence(s)
vehicula             : 2 occurrence(s)
nisl,                : 2 occurrence(s)
phasellus            : 2 occurrence(s)
sollicitudin         : 2 occurrence(s)
tristique            : 2 occurrence(s)
viverra              : 2 occurrence(s)
hendrerit,           : 2 occurrence(s)
ex                   : 2 occurrence(s)
tempor               : 2 occurrence(s)
lorem                : 1 occurrence(s)
adipiscing           : 1 occurrence(s)
elit.                : 1 occurrence(s)
auctor.              : 1 occurrence(s)
ante.                : 1 occurrence(s)
fringilla,           : 1 occurrence(s)
velit.               : 1 occurrence(s)
accumsan.            : 1 occurrence(s)
felis.               : 1 occurrence(s)
gravida              : 1 occurrence(s)
rhoncus,             : 1 occurrence(s)
fringilla.           : 1 occurrence(s)
mi.                  : 1 occurrence(s)
malesuada,           : 1 occurrence(s)
nullam               : 1 occurrence(s)
tempus,              : 1 occurrence(s)
molestie,            : 1 occurrence(s)
